ID,DATA_LEITURA,TEMPERATURA,UMIDADE,PH,FOSFORO,POTASSIO,BOMBA
100,2025-09-25 09:08:51,24.74,63,6.27,1,1,0
101,2025-09-25 09:18:51,23.69,68,6.09,1,1,0
102,2025-09-25 09:28:51,24.31,67,6.13,1,1,0
103,2025-09-25 09:38:51,25.05,66,6.66,0,0,0
104,2025-09-25 09:48:51,24.66,68,5.92,1,1,0
105,2025-09-25 09:58:51,24.88,68,5.93,1,1,0
106,2025-09-25 10:08:51,26.02,60,6.18,1,1,0
107,2025-09-25 10:18:51,26.67,59,6.53,0,0,0
108,2025-09-25 10:28:51,26.32,58,5.98,1,1,0
109,2025-09-25 10:38:51,25.45,64,5.86,0,1,0
110,2025-09-25 10:48:51,26.15,59,6.29,1,1,0
111,2025-09-25 10:58:51,26.19,57,5.7,1,1,0
112,2025-09-25 11:08:51,26.49,58,5.93,0,1,0
113,2025-09-25 11:18:51,27.09,60,6.33,1,1,0
114,2025-09-25 11:28:51,27.07,60,5.99,1,1,0
115,2025-09-25 11:38:51,27.68,55,6.28,1,1,0
116,2025-09-25 11:48:51,26.3,62,5.95,1,1,0
117,2025-09-25 11:58:51,26.68,57,5.52,1,1,0
118,2025-09-25 12:08:51,27.9,51,5.8,1,0,0
119,2025-09-25 12:18:51,27.92,54,6.47,1,1,0
120,2025-09-25 12:28:51,27.99,53,6.46,1,0,0
121,2025-09-25 12:38:51,29.11,49,5.68,1,1,0
122,2025-09-25 12:48:51,28.66,48,6.3,1,1,0
123,2025-09-25 12:58:51,28.59,53,6.07,1,0,0
124,2025-09-25 13:08:51,29.11,47,6.07,1,1,0
125,2025-09-25 13:18:51,28.25,52,5.94,1,1,0
126,2025-09-25 13:28:51,28.54,51,5.85,1,1,0
127,2025-09-25 13:38:51,29.75,46,6.1,1,1,0
128,2025-09-25 13:48:51,28.91,52,6.31,1,1,0
129,2025-09-25 13:58:51,29.72,48,5.83,1,1,0
130,2025-09-25 14:08:51,30.12,46,5.74,1,1,0
131,2025-09-25 14:18:51,28.73,50,6.1,1,1,0
132,2025-09-25 14:28:51,29.58,48,5.93,1,1,0
133,2025-09-25 14:38:51,29.34,49,5.77,1,1,0
134,2025-09-25 14:48:51,29.9,48,5.81,1,1,0
135,2025-09-25 14:58:51,29.48,50,6.31,0,1,0
136,2025-09-25 15:08:51,30.06,47,6.39,1,1,0
137,2025-09-25 15:18:51,29.74,47,5.98,1,1,0
138,2025-09-25 15:28:51,29.93,47,6.28,1,1,0
139,2025-09-25 15:38:51,28.89,52,6.38,1,1,0
140,2025-09-25 15:48:51,30.0,48,6.24,1,1,0
141,2025-09-25 15:58:51,30.23,44,5.74,1,1,1
142,2025-09-25 16:08:51,29.56,49,5.71,0,1,0
143,2025-09-25 16:18:51,30.44,44,5.74,1,1,1
144,2025-09-25 16:28:51,29.86,44,5.61,1,1,1
145,2025-09-25 16:38:51,31.25,40,5.7,1,1,1
146,2025-09-25 16:48:51,29.61,46,5.35,0,1,0
147,2025-09-25 16:58:51,31.09,41,5.84,1,0,1
148,2025-09-25 17:08:51,30.42,52,5.79,0,0,0
149,2025-09-25 17:18:51,29.37,49,5.88,1,1,0
150,2025-09-25 17:28:51,29.96,49,5.47,1,0,0
151,2025-09-25 17:38:51,29.56,45,6.2,1,1,0
152,2025-09-25 17:48:51,29.33,51,5.9,1,1,0
153,2025-09-25 17:58:51,29.01,50,6.28,1,0,0
154,2025-09-25 18:08:51,29.39,49,6.44,0,1,0
155,2025-09-25 18:18:51,28.85,52,5.96,1,1,0
156,2025-09-25 18:28:51,28.93,54,6.11,1,1,0
157,2025-09-25 18:38:51,29.01,52,5.95,1,1,0
158,2025-09-25 18:48:51,28.36,54,6.16,1,1,0
159,2025-09-25 18:58:51,29.42,51,5.88,0,1,0
160,2025-09-25 19:08:51,27.82,56,5.62,1,1,0
161,2025-09-25 19:18:51,27.83,53,6.56,0,0,0
162,2025-09-25 19:28:51,27.42,54,5.98,1,0,0
163,2025-09-25 19:38:51,28.81,53,6.26,1,1,0
164,2025-09-25 19:48:51,28.09,51,5.89,1,1,0
165,2025-09-25 19:58:51,27.45,52,6.09,1,1,0
166,2025-09-25 20:08:51,27.81,56,5.66,1,1,0
167,2025-09-25 20:18:51,27.82,54,5.9,1,1,0
168,2025-09-25 20:28:51,27.32,57,6.45,1,1,0
169,2025-09-25 20:38:51,26.66,59,6.01,0,1,0
170,2025-09-25 20:48:51,26.18,57,5.57,0,1,0
171,2025-09-25 20:58:51,25.42,67,6.19,1,1,0
172,2025-09-25 21:08:51,26.0,61,6.22,1,1,0
173,2025-09-25 21:18:51,25.54,65,5.86,1,1,0
174,2025-09-25 21:28:51,25.2,66,5.81,1,1,0
175,2025-09-25 21:38:51,24.83,63,5.82,1,1,0
176,2025-09-25 21:48:51,25.7,64,5.95,1,1,0
177,2025-09-25 21:58:51,24.72,67,6.38,1,1,0
178,2025-09-25 22:08:51,25.14,61,6.19,1,1,0
179,2025-09-25 22:18:51,24.24,67,6.01,1,1,0
180,2025-09-25 22:28:51,24.5,64,6.0,1,1,0
181,2025-09-25 22:38:51,24.73,63,6.46,1,1,0
182,2025-09-25 22:48:51,24.02,66,5.99,0,0,0
183,2025-09-25 22:58:51,24.17,64,5.96,1,1,0
184,2025-09-25 23:08:51,23.56,67,6.29,1,1,0
185,2025-09-25 23:18:51,22.79,71,5.9,1,0,0
186,2025-09-25 23:28:51,24.65,70,5.67,1,1,0
187,2025-09-25 23:38:51,22.32,74,5.88,1,1,0
188,2025-09-25 23:48:51,22.73,71,5.77,0,1,0
189,2025-09-25 23:58:51,21.82,76,6.16,1,1,0
190,2025-09-26 00:08:51,22.7,72,5.78,1,1,0
191,2025-09-26 00:18:51,22.26,77,6.0,1,1,0
192,2025-09-26 00:28:51,21.73,75,5.58,0,1,0
193,2025-09-26 00:38:51,22.71,72,5.71,1,1,0
194,2025-09-26 00:48:51,22.19,75,6.39,1,1,0
195,2025-09-26 00:58:51,22.07,73,6.22,1,1,0
196,2025-09-26 01:08:51,20.78,79,6.01,1,1,0
197,2025-09-26 01:18:51,20.98,81,5.91,1,1,0
198,2025-09-26 01:28:51,21.35,74,5.75,1,1,0
199,2025-09-26 01:38:51,20.85,78,6.08,0,1,0
200,2025-09-26 01:48:51,20.38,79,5.86,1,1,0
201,2025-09-26 01:58:51,21.06,77,5.94,1,1,0
202,2025-09-26 02:08:51,20.29,83,5.66,1,1,0
203,2025-09-26 02:18:51,20.83,80,6.0,0,1,0
204,2025-09-26 02:28:51,21.02,74,5.75,1,1,0
205,2025-09-26 02:38:51,20.79,78,6.13,0,1,0
206,2025-09-26 02:48:51,20.38,80,5.86,1,1,0
207,2025-09-26 02:58:51,20.38,79,6.18,1,1,0
208,2025-09-26 03:08:51,20.4,81,6.65,1,1,0
209,2025-09-26 03:18:51,21.06,78,5.66,1,1,0
210,2025-09-26 03:28:51,19.82,84,6.39,1,1,0
211,2025-09-26 03:38:51,20.25,86,6.47,1,1,0
212,2025-09-26 03:48:51,20.15,82,6.1,1,1,0
213,2025-09-26 03:58:51,19.37,83,5.92,1,1,0
214,2025-09-26 04:08:51,19.6,84,6.2,1,1,0
215,2025-09-26 04:18:51,20.77,79,5.88,1,1,0
216,2025-09-26 04:28:51,20.6,84,6.42,1,1,0
217,2025-09-26 04:38:51,20.07,80,5.66,1,1,0
218,2025-09-26 04:48:51,20.03,80,5.82,1,1,0
219,2025-09-26 04:58:51,19.8,80,5.74,1,1,0
220,2025-09-26 05:08:51,19.31,85,6.27,1,1,0
221,2025-09-26 05:18:51,20.15,81,6.02,1,1,0
222,2025-09-26 05:28:51,19.85,80,5.74,1,1,0
223,2025-09-26 05:38:51,19.58,80,6.28,0,1,0
224,2025-09-26 05:48:51,19.98,84,5.97,0,1,0
225,2025-09-26 05:58:51,21.09,78,5.58,1,1,0
226,2025-09-26 06:08:51,20.93,80,5.96,1,0,0
227,2025-09-26 06:18:51,21.37,76,6.3,1,1,0
228,2025-09-26 06:28:51,21.7,75,6.12,1,1,0
229,2025-09-26 06:38:51,21.22,77,5.48,1,1,0
230,2025-09-26 06:48:51,21.51,80,6.38,1,0,0
231,2025-09-26 06:58:51,21.49,78,6.11,1,1,0
232,2025-09-26 07:08:51,21.33,79,5.74,1,1,0
233,2025-09-26 07:18:51,21.99,72,6.2,1,0,0
234,2025-09-26 07:28:51,22.05,73,6.65,0,1,0
235,2025-09-26 07:38:51,21.9,75,6.45,1,1,0
236,2025-09-26 07:48:51,22.66,72,5.87,1,0,0
237,2025-09-26 07:58:51,23.16,73,6.07,0,1,0
238,2025-09-26 08:08:51,23.01,71,5.86,1,1,0
239,2025-09-26 08:18:51,21.65,77,6.62,0,1,0
240,2025-09-26 08:28:51,22.67,70,6.0,1,1,0
241,2025-09-26 08:38:51,22.73,72,6.35,1,1,0
242,2025-09-26 08:48:51,22.64,72,6.11,1,1,0
243,2025-09-26 08:58:51,24.38,66,6.3,1,1,0
244,2025-09-26 09:08:51,23.87,68,6.16,1,1,0
245,2025-09-26 09:18:51,24.26,66,5.45,0,0,0
246,2025-09-26 09:28:51,24.63,67,6.42,1,1,0
247,2025-09-26 09:38:51,25.06,67,5.68,1,1,0
248,2025-09-26 09:48:51,24.77,65,5.87,1,1,0
249,2025-09-26 09:58:51,24.91,65,6.22,1,1,0
250,2025-09-26 10:08:51,25.21,62,6.06,1,1,0
251,2025-09-26 10:18:51,26.02,57,5.74,1,1,0
252,2025-09-26 10:28:51,26.16,61,6.17,1,1,0
253,2025-09-26 10:38:51,26.38,61,6.01,1,1,0
254,2025-09-26 10:48:51,25.9,61,6.08,1,0,0
255,2025-09-26 10:58:51,27.05,58,6.45,1,1,0
256,2025-09-26 11:08:51,26.53,57,5.67,1,1,0
257,2025-09-26 11:18:51,26.02,61,6.37,1,0,0
258,2025-09-26 11:28:51,28.34,51,5.84,1,1,0
259,2025-09-26 11:38:51,27.15,58,5.88,1,0,0
260,2025-09-26 11:48:51,27.97,53,5.68,1,1,0
261,2025-09-26 11:58:51,27.66,57,6.15,1,1,0
262,2025-09-26 12:08:51,27.19,57,6.56,0,0,0
263,2025-09-26 12:18:51,27.94,52,5.52,0,1,0
264,2025-09-26 12:28:51,28.14,57,6.0,1,1,0
265,2025-09-26 12:38:51,27.8,53,5.7,1,1,0
266,2025-09-26 12:48:51,28.02,53,5.68,1,1,0
267,2025-09-26 12:58:51,29.22,48,5.51,1,1,0
268,2025-09-26 13:08:51,27.93,56,5.87,1,1,0
269,2025-09-26 13:18:51,29.28,48,6.03,1,1,0
270,2025-09-26 13:28:51,28.72,55,5.91,1,1,0
271,2025-09-26 13:38:51,28.66,53,5.83,1,1,0
272,2025-09-26 13:48:51,29.0,54,5.89,1,1,0
273,2025-09-26 13:58:51,28.56,54,6.04,0,1,0
274,2025-09-26 14:08:51,28.87,47,6.01,1,1,0
275,2025-09-26 14:18:51,30.21,43,5.91,1,1,1
276,2025-09-26 14:28:51,29.91,46,6.35,1,1,0
277,2025-09-26 14:38:51,29.44,48,6.13,1,1,0
278,2025-09-26 14:48:51,29.7,48,6.07,1,1,0
279,2025-09-26 14:58:51,29.15,51,6.48,1,1,0
280,2025-09-26 15:08:51,29.41,47,6.21,1,1,0
281,2025-09-26 15:18:51,30.03,46,6.26,1,1,0
282,2025-09-26 15:28:51,29.84,50,6.11,1,1,0
283,2025-09-26 15:38:51,29.22,48,5.9,1,0,0
284,2025-09-26 15:48:51,30.28,44,5.43,1,0,1
285,2025-09-26 15:58:51,29.31,50,5.36,1,1,0
286,2025-09-26 16:08:51,29.69,47,5.95,0,1,0
287,2025-09-26 16:18:51,31.08,40,5.5,1,1,1
288,2025-09-26 16:28:51,29.94,45,6.25,1,1,0
289,2025-09-26 16:38:51,29.25,53,6.4,1,1,0
290,2025-09-26 16:48:51,28.66,57,6.07,1,1,0
291,2025-09-26 16:58:51,30.59,45,5.54,1,1,0
292,2025-09-26 17:08:51,29.44,51,5.77,1,1,0
293,2025-09-26 17:18:51,29.97,46,5.9,1,1,0
294,2025-09-26 17:28:51,28.6,49,5.84,1,1,0
295,2025-09-26 17:38:51,29.9,45,6.15,1,1,0
296,2025-09-26 17:48:51,29.22,51,6.45,1,1,0
297,2025-09-26 17:58:51,29.42,49,5.59,1,0,0
298,2025-09-26 18:08:51,28.85,51,6.21,1,1,0
299,2025-09-26 18:18:51,28.34,52,6.19,1,1,0
300,2025-09-26 18:28:51,28.8,52,5.67,0,1,0
301,2025-09-26 18:38:51,28.89,51,6.67,0,0,0
302,2025-09-26 18:48:51,29.12,48,6.26,0,1,0
303,2025-09-26 18:58:51,28.59,52,5.9,1,1,0
304,2025-09-26 19:08:51,28.42,51,5.56,1,0,0
305,2025-09-26 19:18:51,27.14,55,5.85,1,1,0
306,2025-09-26 19:28:51,28.39,50,5.45,0,0,0
307,2025-09-26 19:38:51,28.56,52,5.93,0,1,0
308,2025-09-26 19:48:51,28.15,50,6.0,1,1,0
309,2025-09-26 19:58:51,27.7,55,6.22,1,1,0
310,2025-09-26 20:08:51,26.94,58,5.62,1,1,0
311,2025-09-26 20:18:51,27.57,52,6.13,1,0,0
312,2025-09-26 20:28:51,26.74,57,6.45,1,1,0
313,2025-09-26 20:38:51,26.5,62,6.06,1,1,0
314,2025-09-26 20:48:51,26.25,58,6.33,1,1,0
315,2025-09-26 20:58:51,25.64,63,5.96,1,1,0
316,2025-09-26 21:08:51,25.5,58,6.08,1,1,0
317,2025-09-26 21:18:51,25.51,59,6.49,1,1,0
318,2025-09-26 21:28:51,25.35,65,5.52,1,0,0
319,2025-09-26 21:38:51,25.52,63,5.64,0,0,0
320,2025-09-26 21:48:51,25.39,64,6.39,1,1,0
321,2025-09-26 21:58:51,25.25,63,6.37,1,1,0
322,2025-09-26 22:08:51,24.78,64,5.82,1,1,0
323,2025-09-26 22:18:51,24.6,63,6.0,1,1,0
324,2025-09-26 22:28:51,24.11,67,6.13,1,1,0
325,2025-09-26 22:38:51,23.95,68,5.9,1,1,0
326,2025-09-26 22:48:51,24.98,68,6.29,1,1,0
327,2025-09-26 22:58:51,24.3,70,6.29,1,0,0
328,2025-09-26 23:08:51,23.92,68,6.56,1,0,0
329,2025-09-26 23:18:51,22.93,73,5.3,1,0,0
330,2025-09-26 23:28:51,23.24,70,5.94,1,1,0
331,2025-09-26 23:38:51,23.15,69,6.5,0,1,0
332,2025-09-26 23:48:51,22.24,75,5.97,0,0,0
333,2025-09-26 23:58:51,22.52,73,6.1,1,1,0
334,2025-09-27 00:08:51,22.7,75,5.65,1,1,0
335,2025-09-27 00:18:51,21.99,79,5.72,1,1,0
336,2025-09-27 00:28:51,22.18,73,5.71,1,1,0
337,2025-09-27 00:38:51,21.84,74,6.15,1,1,0
338,2025-09-27 00:48:51,20.7,81,6.88,0,1,0
339,2025-09-27 00:58:51,21.57,75,5.8,1,1,0
340,2025-09-27 01:08:51,21.82,74,5.99,1,1,0
341,2025-09-27 01:18:51,20.77,76,5.96,1,1,0
342,2025-09-27 01:28:51,21.79,72,5.91,1,1,0
343,2025-09-27 01:38:51,20.88,76,6.04,0,1,0
344,2025-09-27 01:48:51,21.01,79,5.42,0,0,0
345,2025-09-27 01:58:51,19.65,83,6.46,1,1,0
346,2025-09-27 02:08:51,20.53,83,5.71,1,1,0
347,2025-09-27 02:18:51,20.67,82,5.68,1,1,0
348,2025-09-27 02:28:51,20.92,76,5.97,1,1,0
349,2025-09-27 02:38:51,20.55,80,5.8,1,1,0
350,2025-09-27 02:48:51,21.45,79,6.31,1,1,0
351,2025-09-27 02:58:51,20.2,84,6.17,1,1,0
352,2025-09-27 03:08:51,20.59,79,6.39,1,1,0
353,2025-09-27 03:18:51,20.7,84,5.99,1,1,0
354,2025-09-27 03:28:51,20.34,80,6.04,1,1,0
355,2025-09-27 03:38:51,20.21,82,5.54,1,1,0
356,2025-09-27 03:48:51,19.67,85,6.02,1,0,0
357,2025-09-27 03:58:51,20.22,79,5.9,1,0,0
358,2025-09-27 04:08:51,20.1,83,5.66,1,1,0
359,2025-09-27 04:18:51,19.04,88,5.93,1,0,0
360,2025-09-27 04:28:51,20.02,82,5.83,1,1,0
361,2025-09-27 04:38:51,19.7,85,5.97,1,1,0
362,2025-09-27 04:48:51,19.03,85,6.15,1,1,0
363,2025-09-27 04:58:51,19.77,80,5.67,1,1,0
364,2025-09-27 05:08:51,20.14,80,6.17,0,1,0
365,2025-09-27 05:18:51,20.24,80,5.77,1,1,0
366,2025-09-27 05:28:51,20.85,84,6.38,1,1,0
367,2025-09-27 05:38:51,20.57,80,5.95,1,1,0
368,2025-09-27 05:48:51,20.63,80,6.45,0,1,0
369,2025-09-27 05:58:51,20.9,80,5.77,1,1,0
370,2025-09-27 06:08:51,20.65,83,6.34,1,1,0
371,2025-09-27 06:18:51,21.05,72,6.12,0,0,0
372,2025-09-27 06:28:51,21.02,79,6.45,1,1,0
373,2025-09-27 06:38:51,21.1,77,6.02,0,1,0
374,2025-09-27 06:48:51,20.92,77,6.57,0,0,0
375,2025-09-27 06:58:51,21.23,77,6.3,1,1,0
376,2025-09-27 07:08:51,21.17,79,6.02,1,0,0
377,2025-09-27 07:18:51,22.13,77,6.14,1,1,0
378,2025-09-27 07:28:51,21.44,74,5.97,1,0,0
379,2025-09-27 07:38:51,21.89,76,5.87,1,1,0
380,2025-09-27 07:48:51,22.52,70,6.29,1,1,0
381,2025-09-27 07:58:51,22.77,75,6.17,1,1,0
382,2025-09-27 08:08:51,22.98,71,6.15,1,1,0
383,2025-09-27 08:18:51,22.21,78,5.82,1,1,0
384,2025-09-27 08:28:51,23.02,73,6.28,1,1,0
385,2025-09-27 08:38:51,23.02,68,6.48,0,1,0
386,2025-09-27 08:48:51,23.1,71,5.7,1,1,0
387,2025-09-27 08:58:51,22.87,71,6.04,1,1,0
388,2025-09-27 09:08:51,24.56,69,6.06,0,0,0
389,2025-09-27 09:18:51,23.9,67,5.9,1,1,0
390,2025-09-27 09:28:51,24.4,65,6.15,1,1,0
391,2025-09-27 09:38:51,24.21,64,6.6,0,0,0
392,2025-09-27 09:48:51,25.85,60,5.71,0,1,0
393,2025-09-27 09:58:51,24.49,66,5.62,1,1,0
394,2025-09-27 10:08:51,25.34,63,6.23,1,1,0
395,2025-09-27 10:18:51,26.33,59,5.99,1,0,0
396,2025-09-27 10:28:51,25.54,62,5.77,1,1,0
397,2025-09-27 10:38:51,25.99,61,5.98,1,1,0
398,2025-09-27 10:48:51,26.49,59,6.28,1,1,0
399,2025-09-27 10:58:51,26.27,62,6.08,1,1,0
400,2025-09-27 11:08:51,26.39,57,6.11,0,1,0
401,2025-09-27 11:18:51,26.0,58,6.11,1,0,0
402,2025-09-27 11:28:51,26.05,55,5.96,1,1,0
403,2025-09-27 11:38:51,28.29,48,5.83,1,1,0
404,2025-09-27 11:48:51,27.66,60,5.91,1,1,0
405,2025-09-27 11:58:51,27.74,57,5.92,1,1,0
406,2025-09-27 12:08:51,27.45,57,6.5,1,1,0
407,2025-09-27 12:18:51,27.88,54,6.14,0,1,0
408,2025-09-27 12:28:51,28.06,57,6.1,1,1,0
409,2025-09-27 12:38:51,27.37,57,6.03,1,1,0
410,2025-09-27 12:48:51,28.12,50,5.93,1,1,0
411,2025-09-27 12:58:51,28.06,52,6.06,1,1,0
412,2025-09-27 13:08:51,28.35,54,6.16,1,1,0
413,2025-09-27 13:18:51,29.14,50,5.99,0,1,0
414,2025-09-27 13:28:51,28.33,52,6.35,1,1,0
415,2025-09-27 13:38:51,28.31,53,5.84,1,1,0
416,2025-09-27 13:48:51,28.89,53,6.64,0,1,0
417,2025-09-27 13:58:51,30.19,46,5.98,0,1,0
418,2025-09-27 14:08:51,29.42,51,5.8,0,1,0
419,2025-09-27 14:18:51,30.06,45,6.38,1,1,0
420,2025-09-27 14:28:51,30.1,47,6.5,1,1,0
421,2025-09-27 14:38:51,29.45,48,5.87,1,1,0
422,2025-09-27 14:48:51,29.32,48,5.9,1,1,0
423,2025-09-27 14:58:51,30.13,46,6.27,1,0,0
424,2025-09-27 15:08:51,29.77,47,5.96,1,1,0
425,2025-09-27 15:18:51,30.15,49,6.03,1,1,0
426,2025-09-27 15:28:51,29.5,49,5.6,1,1,0
427,2025-09-27 15:38:51,29.67,46,5.61,1,1,0
428,2025-09-27 15:48:51,30.48,45,5.85,1,1,0
429,2025-09-27 15:58:51,30.13,46,5.98,1,1,0
430,2025-09-27 16:08:51,30.09,47,5.87,1,1,0
431,2025-09-27 16:18:51,29.42,45,6.09,1,1,0
432,2025-09-27 16:28:51,29.13,50,6.5,1,1,0
433,2025-09-27 16:38:51,29.75,48,6.53,0,0,0
434,2025-09-27 16:48:51,29.61,52,6.38,1,1,0
435,2025-09-27 16:58:51,29.4,50,6.18,1,1,0
436,2025-09-27 17:08:51,29.69,48,5.95,1,1,0
437,2025-09-27 17:18:51,29.61,48,5.79,1,1,0
438,2025-09-27 17:28:51,29.37,48,5.47,0,0,0
439,2025-09-27 17:38:51,29.84,47,6.39,1,1,0
440,2025-09-27 17:48:51,29.69,49,5.46,1,0,0
441,2025-09-27 17:58:51,29.91,48,6.16,1,1,0
442,2025-09-27 18:08:51,28.51,51,6.08,0,1,0
443,2025-09-27 18:18:51,29.41,45,5.57,1,1,0
444,2025-09-27 18:28:51,28.64,52,6.05,1,1,0
445,2025-09-27 18:38:51,28.06,53,5.99,1,1,0
446,2025-09-27 18:48:51,28.83,54,6.4,1,0,0
447,2025-09-27 18:58:51,28.21,54,6.05,1,1,0
448,2025-09-27 19:08:51,29.26,50,5.67,1,1,0
